v1,v2
ham,You have won a Amazon gift voucher worth Rs100
spam,Your computer is infected! Download our software to clean it.
spam,You've been chosen to receive a cash prize. Click now to claim!
spam,This is not a scam! Send us your details to receive a bonus.
ham,"Hi, just checking in to see how your project is going."
spam,You've been selected for a trial of our new weight loss product.
ham,Let's schedule a time to discuss the new project.
ham,Let's schedule a time to discuss the new project.
spam,Act now to get your free trial of our premium service!
ham,Please confirm your attendance for the upcoming workshop.
spam,Get rich quick! Invest in our cryptocurrency scheme!
ham,Let's schedule a time to discuss the new project.
ham,Please confirm your attendance for the upcoming workshop.
ham,Here's the report you requested last week.
ham,Here's the report you requested last week.
ham,Let's schedule a time to discuss the new project.
ham,We appreciate your business! Thank you for choosing us.
ham,Reminder: Your meeting is scheduled for tomorrow at 10 AM.
spam,Hurry! Limited time offer on luxury watches.
spam,You've been chosen to receive a cash prize. Click now to claim!
spam,Hurry! Limited time offer on luxury watches.
spam,Your account has been compromised. Please click here to verify your identity.
ham,Attached is the document for your review.
ham,Your subscription has been renewed successfully.
spam,Hurry! Limited time offer on luxury watches.
spam,You've been selected for a trial of our new weight loss product.
spam,Your computer is infected! Download our software to clean it.
ham,Your subscription has been renewed successfully.
spam,Claim your free gift card for Amazon by clicking this link!
spam,Claim your free gift card for Amazon by clicking this link!
ham,Please confirm your attendance for the upcoming workshop.
ham,Please confirm your attendance for the upcoming workshop.
ham,Let's schedule a time to discuss the new project.
ham,Your subscription has been renewed successfully.
spam,Your computer is infected! Download our software to clean it.
spam,You've been chosen to receive a cash prize. Click now to claim!
ham,Reminder: Your meeting is scheduled for tomorrow at 10 AM.
ham,We value your feedback! Please take a moment to fill out our survey.
ham,We appreciate your business! Thank you for choosing us.
ham,Reminder: Your meeting is scheduled for tomorrow at 10 AM.
ham,Attached is the document for your review.
ham,We appreciate your business! Thank you for choosing us.
spam,This is not a scam! Send us your details to receive a bonus.
spam,You've been selected for a trial of our new weight loss product.
ham,Let's schedule a time to discuss the new project.
ham,"Hi, just checking in to see how your project is going."
ham,We appreciate your business! Thank you for choosing us.
spam,Get rich quick! Invest in our cryptocurrency scheme!
spam,Claim your free gift card for Amazon by clicking this link!
spam,Get rich quick! Invest in our cryptocurrency scheme!
spam,You've been chosen to receive a cash prize. Click now to claim!
ham,Thank you for your order! Your package will arrive on Thursday.
spam,Get rich quick! Invest in our cryptocurrency scheme!
ham,"Hi, just checking in to see how your project is going."
spam,You've been selected for a trial of our new weight loss product.
spam,You've been chosen to receive a cash prize. Click now to claim!
spam,You've been selected for a trial of our new weight loss product.
spam,Your account has been compromised. Please click here to verify your identity.
spam,Hurry! Limited time offer on luxury watches.
spam,Act now to get your free trial of our premium service!
ham,Let's schedule a time to discuss the new project.
spam,Congratulations! You've won a free vacation to the Bahamas!
spam,Your account has been compromised. Please click here to verify your identity.
ham,Please confirm your attendance for the upcoming workshop.
ham,Your subscription has been renewed successfully.
spam,Your computer is infected! Download our software to clean it.
spam,You've been chosen to receive a cash prize. Click now to claim!
spam,This is not a scam! Send us your details to receive a bonus.
spam,Hurry! Limited time offer on luxury watches.
ham,Attached is the document for your review.
ham,We value your feedback! Please take a moment to fill out our survey.
spam,Claim your free gift card for Amazon by clicking this link!
spam,You've been chosen to receive a cash prize. Click now to claim!
spam,Hurry! Limited time offer on luxury watches.
spam,You've been selected for a trial of our new weight loss product.
ham,Your subscription has been renewed successfully.
ham,Attached is the document for your review.
spam,You've been selected for a trial of our new weight loss product.
spam,Get rich quick! Invest in our cryptocurrency scheme!
ham,Please confirm your attendance for the upcoming workshop.
ham,Your subscription has been renewed successfully.
spam,You've been chosen to receive a cash prize. Click now to claim!
ham,"Hi, just checking in to see how your project is going."
spam,Act now to get your free trial of our premium service!
spam,Get rich quick! Invest in our cryptocurrency scheme!
ham,Let's schedule a time to discuss the new project.
ham,Thank you for your order! Your package will arrive on Thursday.
ham,We value your feedback! Please take a moment to fill out our survey.
ham,Here's the report you requested last week.
ham,Here's the report you requested last week.
spam,This is not a scam! Send us your details to receive a bonus.
ham,Attached is the document for your review.
ham,Thank you for your order! Your package will arrive on Thursday.
spam,Your account has been compromised. Please click here to verify your identity.
ham,Your subscription has been renewed successfully.
ham,Let's schedule a time to discuss the new project.
spam,Hurry! Limited time offer on luxury watches.
ham,Attached is the document for your review.
spam,Claim your free gift card for Amazon by clicking this link!
spam,Act now to get your free trial of our premium service!
spam,Claim your free gift card for Amazon by clicking this link!
ham,Your subscription has been renewed successfully.
spam,Your account has been compromised. Please click here to verify your identity.
ham,Please confirm your attendance for the upcoming workshop.
spam,Get rich quick! Invest in our cryptocurrency scheme!
spam,You've been chosen to receive a cash prize. Click now to claim!
ham,Your subscription has been renewed successfully.
ham,Thank you for your order! Your package will arrive on Thursday.
spam,This is not a scam! Send us your details to receive a bonus.
spam,Hurry! Limited time offer on luxury watches.
ham,Here's the report you requested last week.
